"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"4/17/2019","8044.97","8052.4","7973.38","7996.08","0.99%","-0.61%","1.10%","0.48%","1.47%","1","0.15%"
"4/18/2019","7998.45","8002.31","7950.97","7998.06","0.65%","0.00%","1.06%","0.06%","0.71%","","0.13%"
"4/22/2019","7969.37","8017.15","7965.9","8015.27","0.64%","0.58%","1.04%","0.11%","0.75%","","0.15%"
"4/23/2019","8026.75","8128.87","8023.81","8120.82","1.31%","1.17%","1.11%","0.49%","1.80%","","0.34%"
"4/24/2019","8122.88","8139.55","8101.7","8102.01","0.47%","-0.26%","1.13%","1.22%","1.69%","1","0.24%"
"4/25/2019","8150.85","8151.84","8075.41","8118.68","0.95%","-0.39%","1.14%","0.65%","1.60%","","0.24%"
"4/26/2019","8100.28","8146.42","8060.89","8146.4","1.06%","0.57%","1.16%","0.21%","1.27%","","0.26%"
"4/29/2019","8147.65","8176.08","8136.41","8161.85","0.49%","0.17%","1.17%","0.90%","1.40%","","0.24%"
"4/30/2019","8104.91","8124.61","8050.55","8095.39","0.92%","-0.12%","1.10%","-0.23%","0.69%","1","0.07%"
"5/1/2019","8132.93","8146","8048.23","8049.64","1.21%","-1.02%","0.99%","-0.22%","1.00%","1","-0.04%"
"5/2/2019","8046.48","8094.06","7976.77","8036.77","1.47%","-0.12%","0.87%","-1.04%","0.41%","1","-0.06%"
"5/3/2019","8092.88","8164.71","8084.8","8164","0.99%","0.88%","0.90%","0.08%","1.07%","","0.21%"
"5/6/2019","7981.85","8135.54","7981.85","8123.29","1.93%","1.77%","0.86%","-1.28%","0.62%","1","0.09%"
"5/7/2019","8043.52","8070.97","7899.02","7963.76","2.18%","-0.99%","0.67%","-2.06%","0.07%","1","-0.25%"
"5/8/2019","7946.24","8004.49","7923.35","7943.32","1.02%","-0.04%","0.49%","-1.51%","-0.50%","1","-0.25%"
"5/9/2019","7853.21","7929.78","7796.16","7910.59","1.71%","0.73%","0.32%","-2.82%","-1.16%","1","-0.28%"
"5/10/2019","7881.31","7949.34","7759.34","7916.94","2.45%","0.45%","0.18%","-3.07%","-0.69%","","-0.22%"
