"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"5/4/2018","7065.67","7228.26","7057.89","7209.62","2.41%","2.04%","-0.06%","-0.90%","1.49%","","0.25%"
"5/7/2018","7241.82","7291.74","7235.76","7265.21","0.77%","0.32%","0.11%","1.26%","2.04%","","0.34%"
"5/8/2018","7255.34","7278.81","7224.70","7266.90","0.75%","0.16%","0.23%","0.82%","1.57%","","0.28%"
"5/9/2018","7281.53","7344.80","7259.05","7339.91","1.18%","0.80%","0.40%","0.89%","2.08%","","0.40%"
"5/10/2018","7355.90","7414.15","7353.63","7404.97","0.82%","0.67%","0.60%","1.71%","2.55%","","0.49%"
"5/11/2018","7393.97","7417.67","7372.26","7402.88","0.62%","0.12%","0.73%","1.56%","2.19%","1","0.40%"
"5/14/2018","7429.45","7458.42","7401.89","7411.32","0.76%","-0.24%","0.83%","1.62%","2.39%","","0.35%"
"5/15/2018","7361.30","7363.52","7320.97","7351.63","0.58%","-0.13%","0.83%","0.35%","0.93%","1","0.15%"
"5/16/2018","7356.22","7413.32","7356.16","7398.30","0.78%","0.57%","0.87%","0.60%","1.38%","","0.23%"
"5/17/2018","7379.58","7425.39","7350.46","7382.47","1.02%","0.04%","0.87%","0.36%","1.38%","1","0.16%"
"5/18/2018","7364.34","7381.16","7343.97","7354.34","0.51%","-0.14%","0.83%","0.20%","0.71%","1","0.07%"
"5/21/2018","7406.34","7431.83","7368.21","7394.04","0.86%","-0.17%","0.82%","0.38%","1.25%","","0.15%"
"5/22/2018","7420.85","7432.53","7370.33","7378.46","0.84%","-0.57%","0.79%","0.32%","1.17%","1","0.09%"
"5/23/2018","7335.03","7426.78","7334.62","7425.96","1.26%","1.24%","0.81%","-0.34%","0.91%","","0.18%"
"5/24/2018","7421.99","7435.38","7357.50","7424.43","1.06%","0.03%","0.81%","-0.18%","0.88%","1","0.15%"
"5/25/2018","7422.20","7452.85","7415.58","7433.85","0.50%","0.16%","0.81%","0.47%","0.97%","","0.14%"
"5/29/2018","7398.51","7435.13","7354.29","7396.59","1.10%","-0.03%","0.75%","-0.40%","0.70%","1","0.04%"
"5/30/2018","7428.41","7473.81","7423.67","7462.45","0.68%","0.46%","0.77%","0.36%","1.04%","","0.18%"
"5/31/2018","7455.58","7492.42","7431.41","7442.12","0.82%","-0.18%","0.75%","0.37%","1.19%","1","0.10%"
"6/1/2018","7487.66","7557.38","7487.23","7554.33","0.94%","0.89%","0.84%","0.78%","1.72%","","0.34%"
"6/4/2018","7570.08","7607.17","7561.20","7606.46","0.61%","0.48%","0.96%","1.37%","1.99%","","0.40%"
"6/5/2018","7621.36","7644.48","7602.38","7637.86","0.55%","0.22%","1.06%","1.52%","2.08%","","0.40%"
"6/6/2018","7652.80","7691.65","7622.31","7689.24","0.91%","0.48%","1.18%","1.33%","2.25%","","0.45%"
"6/7/2018","7697.41","7697.41","7597.66","7635.07","1.31%","-0.81%","1.19%","0.75%","2.07%","1","0.25%"
"6/8/2018","7607.74","7653.58","7595.14","7645.51","0.77%","0.50%","1.20%","0.49%","1.26%","","0.23%"
"6/11/2018","7647.24","7677.29","7642.87","7659.93","0.45%","0.17%","1.20%","0.89%","1.35%","","0.22%"
"6/12/2018","7673.87","7708.25","7669.53","7703.79","0.50%","0.39%","1.22%","0.96%","1.47%","","0.28%"
"6/13/2018","7713.90","7748.96","7686.65","7695.70","0.81%","-0.24%","1.22%","0.96%","1.78%","1","0.22%"
"6/14/2018","7723.53","7768.60","7723.53","7761.04","0.58%","0.49%","1.26%","1.12%","1.71%","","0.32%"
"6/15/2018","7725.03","7755.72","7704.34","7746.38","0.67%","0.28%","1.26%","0.63%","1.30%","1","0.24%"
"6/18/2018","7692.96","7749.36","7676.83","7747.03","0.94%","0.70%","1.25%","0.07%","1.02%","","0.20%"
"6/19/2018","7658.47","7727.41","7635.73","7725.59","1.20%","0.88%","1.19%","-0.58%","0.61%","1","0.12%"
"6/20/2018","7764.15","7806.60","7755.48","7781.51","0.66%","0.22%","1.19%","0.76%","1.42%","","0.22%"
"6/21/2018","7800.30","7803.45","7699.20","7712.95","1.35%","-1.12%","1.10%","-0.01%","1.35%","1","0.03%"
"6/22/2018","7739.69","7739.71","7679.12","7692.82","0.79%","-0.61%","1.00%","-0.25%","0.53%","1","-0.01%"
"6/25/2018","7631.12","7639.73","7477.73","7532.01","2.17%","-1.30%","0.74%","-2.52%","-0.41%","1","-0.36%"
"6/26/2018","7553.74","7597.49","7527.00","7561.63","0.94%","0.10%","0.57%","-1.64%","-0.72%","","-0.24%"
"6/27/2018","7586.33","7610.67","7444.17","7445.08","2.24%","-1.86%","0.30%","-2.28%","-0.10%","1","-0.45%"
"6/28/2018","7438.11","7526.07","7419.56","7503.68","1.44%","0.88%","0.16%","-2.36%","-0.96%","","-0.25%"
"6/29/2018","7544.13","7573.59","7502.95","7510.30","0.94%","-0.45%","0.05%","-1.07%","-0.14%","","-0.19%"
"7/2/2018","7451.90","7568.10","7443.10","7567.69","1.68%","1.55%","0.03%","-1.82%","-0.18%","","-0.04%"
"7/3/2018","7593.63","7594.33","7498.50","7502.67","1.28%","-1.20%","-0.06%","-0.92%","0.34%","1","-0.17%"
"7/5/2018","7550.66","7589.19","7511.43","7586.43","1.04%","0.47%","-0.03%","-0.79%","0.24%","","0.04%"
"7/6/2018","7595.93","7695.81","7588.65","7688.39","1.41%","1.22%","0.09%","-0.03%","1.38%","","0.26%"
"7/9/2018","7731.74","7757.28","7702.06","7756.20","0.72%","0.32%","0.26%","1.10%","1.82%","","0.36%"
"7/10/2018","7770.63","7777.48","7731.98","7759.20","0.59%","-0.15%","0.38%","1.18%","1.77%","","0.31%"
"7/11/2018","7698.51","7748.16","7696.58","7716.61","0.67%","0.24%","0.43%","0.55%","1.23%","1","0.16%"
"7/12/2018","7752.71","7825.67","7746.76","7823.92","1.02%","0.92%","0.56%","0.84%","1.86%","","0.37%"
"7/13/2018","7827.62","7843.52","7803.34","7825.98","0.51%","-0.02%","0.66%","1.26%","1.78%","","0.31%"
"7/16/2018","7831.74","7838.82","7791.98","7805.72","0.60%","-0.33%","0.70%","0.89%","1.50%","1","0.21%"
"7/17/2018","7751.97","7867.15","7749.61","7855.12","1.52%","1.33%","0.78%","0.06%","1.58%","","0.29%"
"7/18/2018","7859.43","7863.77","7822.83","7854.44","0.52%","-0.06%","0.82%","0.77%","1.29%","1","0.24%"
"7/19/2018","7829.80","7849.85","7811.15","7825.30","0.50%","-0.06%","0.81%","0.48%","0.98%","1","0.13%"
"7/20/2018","7843.08","7860.25","7815.86","7820.20","0.57%","-0.29%","0.79%","0.44%","1.01%","1","0.10%"
"7/23/2018","7806.93","7846.76","7776.55","7841.87","0.90%","0.45%","0.78%","-0.19%","0.71%","","0.13%"
"7/24/2018","7914.35","7928.79","7814.33","7840.77","1.46%","-0.93%","0.76%","0.19%","1.66%","1","0.11%"
"7/25/2018","7839.09","7933.31","7838.76","7932.24","1.21%","1.19%","0.83%","0.22%","1.43%","","0.28%"
"7/26/2018","7848.04","7881.30","7834.08","7852.18","0.60%","0.05%","0.79%","0.09%","0.70%","1","0.06%"
"7/27/2018","7889.75","7889.75","7698.96","7737.42","2.48%","-1.93%","0.63%","-1.45%","1.00%","1","-0.19%"
"7/30/2018","7735.27","7740.26","7604.24","7630.00","1.79%","-1.36%","0.39%","-2.28%","-0.53%","1","-0.39%"
"7/31/2018","7654.59","7709.49","7614.84","7671.79","1.24%","0.22%","0.24%","-1.91%","-0.69%","","-0.24%"
"8/1/2018","7701.82","7732.68","7670.71","7707.29","0.81%","0.07%","0.17%","-1.07%","-0.27%","","-0.12%"
"8/2/2018","7659.52","7808.85","7659.52","7802.69","1.95%","1.87%","0.20%","-1.32%","0.60%","","0.10%"
"8/3/2018","7819.23","7824.06","7783.30","7812.01","0.52%","-0.09%","0.23%","0.17%","0.69%","","0.11%"
"8/6/2018","7809.54","7859.68","7801.88","7859.68","0.74%","0.64%","0.31%","0.21%","0.96%","","0.19%"
"8/7/2018","7878.62","7898.20","7868.65","7883.66","0.38%","0.06%","0.38%","0.86%","1.24%","","0.21%"
"8/8/2018","7880.00","7901.69","7864.46","7888.33","0.47%","0.11%","0.43%","0.62%","1.09%","","0.19%"
"8/9/2018","7886.52","7923.35","7881.06","7891.78","0.54%","0.07%","0.47%","0.67%","1.21%","","0.16%"
"8/10/2018","7834.71","7866.19","7818.37","7839.11","0.61%","0.06%","0.44%","-0.15%","0.46%","1","0.02%"
